Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Lam (2009),180,Input,paint,387,5536628,0.0698981401676255
Lam (2009),180,Target,painter,47,5536628,0.008488921415706455
Lam (2009),181,Input,curl,69,5536628,0.012462459099654157
Lam (2009),181,Target,curly,175,5536628,0.03160768612231127
Lam (2009),182,Input,calm,411,5536628,0.07423290855011389
Lam (2009),182,Target,calmly,107,5536628,0.019325842371927464
Lam (2009),183,Input,magic,579,5536628,0.10457628722753272
Lam (2009),183,Target,musician,40,5536628,0.007224613970814004
Lam (2009),184,Input,strong,922,5536628,0.16652735202726282
Lam (2009),184,Target,strength,439,5536628,0.0792901383296837
Lam (2009),185,Input,discuss,197,5536628,0.03558122380625897
Lam (2009),185,Target,discussion,131,5536628,0.023660610754415865
Lam (2009),186,Input,appear,282,5536628,0.05093352849423873
Lam (2009),186,Target,appearance,129,5536628,0.023299380055875164
Lam (2009),187,Input,remark,51,5536628,0.009211382812787857
Lam (2009),187,Target,remarkable,73,5536628,0.013184920496735558
Lam (2009),188,Input,major,612,5536628,0.11053659375345427
Lam (2009),188,Target,majority,73,5536628,0.013184920496735558
Lam (2009),189,Input,humour,7,5536628,0.001264307444892451
Lam (2009),189,Target,humorous,12,5536628,0.0021673841912442015
Lam (2009),190,Input,mystery,234,5536628,0.04226399172926193
Lam (2009),190,Target,mysterious,171,5536628,0.030885224725229865
Deacon et al. (2013),192,Input,plugs,12,5536628,0.0021673841912442015
Deacon et al. (2013),192,Target,plugged,31,5536628,0.005599075827380853
Deacon et al. (2013),194,Input,chased,100,5536628,0.018061534927035012
Deacon et al. (2013),194,Target,chases,27,5536628,0.004876614430299454
Deacon et al. (2013),196,Input,slammed,167,5536628,0.03016276332814847
Deacon et al. (2013),196,Target,slams,59,5536628,0.010656305606950658
Deacon et al. (2013),198,Input,feeds,44,5536628,0.007947075367895405
Deacon et al. (2013),198,Target,fed,194,5536628,0.035039377758447926
Deacon et al. (2013),200,Input,crept,137,5536628,0.024744302850037963
Deacon et al. (2013),200,Target,creeps,24,5536628,0.004334768382488403
Deacon et al. (2013),202,Input,sells,33,5536628,0.005960306525921553
Deacon et al. (2013),202,Target,sold,250,5536628,0.04515383731758753
Deacon et al. (2013),204,Input,ran,1589,5536628,0.28699778999058634
Deacon et al. (2013),204,Target,runs,624,5536628,0.11270397794469847
Deacon et al. (2013),206,Input,opens,258,5536628,0.04659876011175033
Deacon et al. (2013),206,Target,opened,1134,5536628,0.20481780607257702
Deacon et al. (2013),208,Input,strong,922,5536628,0.16652735202726282
Deacon et al. (2013),208,Target,strongest,42,5536628,0.007585844669354705
Deacon et al. (2013),210,Input,chill,163,5536628,0.02944030193106707
Deacon et al. (2013),210,Target,chilly,66,5536628,0.011920613051843106
Deacon et al. (2013),212,Input,write,1080,5536628,0.19506457721197812
Deacon et al. (2013),212,Target,writer,173,5536628,0.031246455423770567
Deacon et al. (2013),214,Input,curl,69,5536628,0.012462459099654157
Deacon et al. (2013),214,Target,curly,175,5536628,0.03160768612231127
Deacon et al. (2013),216,Input,store,868,5536628,0.1567741231666639
Deacon et al. (2013),216,Target,shortage,24,5536628,0.004334768382488403
Deacon et al. (2013),218,Input,bite,319,5536628,0.05761629641724169
Deacon et al. (2013),218,Target,biting,111,5536628,0.020048303769008863
Deacon et al. (2013),220,Input,goose,129,5536628,0.023299380055875164
Deacon et al. (2013),220,Target,geese,55,5536628,0.009933844209869256
Deacon et al. (2013),222,Input,obedient,13,5536628,0.0023479995405145514
Deacon et al. (2013),222,Target,obedience,14,5536628,0.002528614889784902
Deacon et al. (2013),224,Input,strong,922,5536628,0.16652735202726282
Deacon et al. (2013),224,Target,strength,439,5536628,0.0792901383296837
Deacon et al. (2013),226,Input,clean,782,5536628,0.1412412031294138
