Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words
Deacon et al. (2013),210,Target,chilly,1,199877,0.005003076892288758
Deacon et al. (2013),212,Input,write,14,199877,0.07004307649204261
Deacon et al. (2013),212,Target,writer,1,199877,0.005003076892288758
Deacon et al. (2013),214,Input,curl,9,199877,0.045027692030598816
Deacon et al. (2013),214,Target,curly,3,199877,0.015009230676866273
Deacon et al. (2013),216,Input,store,47,199877,0.2351446139375716
Deacon et al. (2013),216,Target,shortage,0,199877,0.0
Deacon et al. (2013),218,Input,bite,17,199877,0.08505230716890888
Deacon et al. (2013),218,Target,biting,2,199877,0.010006153784577516
Deacon et al. (2013),220,Input,goose,24,199877,0.12007384541493019
Deacon et al. (2013),220,Target,geese,6,199877,0.030018461353732546
Deacon et al. (2013),222,Input,obedient,0,199877,0.0
Deacon et al. (2013),222,Target,obedience,0,199877,0.0
Deacon et al. (2013),224,Input,strong,42,199877,0.21012922947612783
Deacon et al. (2013),224,Target,strength,1,199877,0.005003076892288758
Deacon et al. (2013),226,Input,clean,54,199877,0.2701661521835929
Deacon et al. (2013),226,Target,cleaner,2,199877,0.010006153784577516
Deacon et al. (2013),228,Input,deep,66,199877,0.330203074891058
Deacon et al. (2013),228,Target,depth,2,199877,0.010006153784577516
Deacon et al. (2013),230,Input,mouse,152,199877,0.7604676876278912
Deacon et al. (2013),230,Target,mice,18,199877,0.09005538406119763
Deacon et al. (2013),232,Input,scratch,16,199877,0.08004923027662013
Deacon et al. (2013),232,Target,scratched,7,199877,0.035021538246021305
Deacon et al. (2013),234,Input,true,48,199877,0.24014769082986037
Deacon et al. (2013),234,Target,truth,4,199877,0.020012307569155032
Deacon et al. (2013),236,Input,farm,52,199877,0.26015999839901544
Deacon et al. (2013),236,Target,farmer,52,199877,0.26015999839901544
Deacon et al. (2013),238,Input,mild,5,199877,0.025015384461443788
Deacon et al. (2013),238,Target,mildly,0,199877,0.0
Deacon et al. (2013),240,Input,sing,69,199877,0.34521230556792426
Deacon et al. (2013),240,Target,sang,61,199877,0.3051876904296142
Deacon et al. (2013),242,Input,science,5,199877,0.025015384461443788
Deacon et al. (2013),242,Target,scientist,1,199877,0.005003076892288758
Deacon et al. (2013),244,Input,shrink,0,199877,0.0
Deacon et al. (2013),244,Target,shrinkage,0,199877,0.0
Deacon et al. (2013),246,Input,bold,7,199877,0.035021538246021305
Deacon et al. (2013),246,Target,boldly,1,199877,0.005003076892288758
Deacon et al. (2013),248,Input,fly,89,199877,0.44527384341369947
Deacon et al. (2013),248,Target,flying,52,199877,0.26015999839901544
Deacon (2012),250,Input,plugs,0,199877,0.0
Deacon (2012),250,Target,plugged,1,199877,0.005003076892288758
Deacon (2012),252,Input,chased,11,199877,0.055033845815176334
Deacon (2012),252,Target,chases,3,199877,0.015009230676866273
Deacon (2012),254,Input,slammed,5,199877,0.025015384461443788
Deacon (2012),254,Target,slams,0,199877,0.0
Deacon (2012),256,Input,feeds,4,199877,0.020012307569155032
Deacon (2012),256,Target,fed,17,199877,0.08505230716890888
Deacon (2012),258,Input,crept,10,199877,0.050030768922887575
Deacon (2012),258,Target,creeps,3,199877,0.015009230676866273
Deacon (2012),260,Input,sells,1,199877,0.005003076892288758
Deacon (2012),260,Target,sold,10,199877,0.050030768922887575
Deacon (2012),262,Input,ran,111,199877,0.5553415350440521
Deacon (2012),262,Target,runs,12,199877,0.06003692270746509
