Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Carlisle (2000),67,Target,popular,2,199877,0.0100061537845775,304,5536628,0.0549070661781864,0,66112,0.0,9,3826525,0.00235200345,0.016816305853190976
Carlisle (2000),68,Input,runner,0,199877,0.0,139,5536628,0.0251055335485786,0,66112,0.0,10,3826525,0.002613337166,0.006929717678644649
Carlisle (2000),68,Target,run,76,199877,0.3802338438139456,2132,5536628,0.3850719246443864,22,66112,0.3327686350435624,855,3826525,0.2234403277,0.33037868280047356
Carlisle (2000),69,Input,publicity,0,199877,0.0,27,5536628,0.0048766144302994,1,66112,0.0151258470474346,0,3826525,0.0,0.005000615369433499
Carlisle (2000),69,Target,public,2,199877,0.0100061537845775,648,5536628,0.1170387463271868,2,66112,0.0302516940948693,26,3826525,0.006794676632,0.041022817709658405
Carlisle (2000),70,Input,difference,2,199877,0.0100061537845775,359,5536628,0.0648409103880557,8,66112,0.1210067763794772,116,3826525,0.03031471113,0.056542137920527605
Carlisle (2000),70,Target,differ,0,199877,0.0,22,5536628,0.0039735376839477,0,66112,0.0,1,3826525,0.0002613337166,0.0010587178501369249
Carlisle (2000),71,Input,originality,0,199877,0.0,6,5536628,0.0010836920956221,0,66112,0.0,0,3826525,0.0,0.000270923023905525
Carlisle (2000),71,Target,original,1,199877,0.0050030768922887,219,5536628,0.0395547614902066,2,66112,0.0302516940948693,18,3826525,0.004704006899,0.01987838484409115
Carlisle (2000),72,Input,agreeable,1,199877,0.0050030768922887,9,5536628,0.0016255381434331,0,66112,0.0,4,3826525,0.001045334866,0.00191848747543045
Carlisle (2000),72,Target,agree,3,199877,0.0150092306768662,283,5536628,0.051114143843509,2,66112,0.0302516940948693,33,3826525,0.008624012649,0.026249770316061127
Carlisle (2000),73,Input,courageous,1,199877,0.0050030768922887,38,5536628,0.0068633832722733,0,66112,0.0,0,3826525,0.0,0.0029666150411405
Carlisle (2000),73,Target,courage,1,199877,0.0050030768922887,202,5536628,0.0364843005526107,10,66112,0.1512584704743465,2,3826525,0.0005226674332,0.048317128838111484
Carlisle (2000),74,Input,admission,0,199877,0.0,23,5536628,0.004154153033218,0,66112,0.0,3,3826525,0.0007840011499,0.0012345385457795
Carlisle (2000),74,Target,admit,0,199877,0.0,271,5536628,0.0489467596522648,3,66112,0.0453775411423039,15,3826525,0.003920005749,0.024561076635892173
Carlisle (2000),75,Input,dangerous,12,199877,0.060036922707465,458,5536628,0.0827218299658203,7,66112,0.1058809293320425,139,3826525,0.03632538661,0.07124126715383196
Carlisle (2000),75,Target,danger,7,199877,0.0350215382460213,331,5536628,0.0597836806084858,4,66112,0.0605033881897386,51,3826525,0.01332801955,0.04215915664856143
Carlisle (2000),76,Input,reduction,0,199877,0.0,16,5536628,0.0028898455883256,0,66112,0.0,6,3826525,0.0015680023,0.0011144619720814
